0	0	0	16	1
0	0	1	16	1
0	0	2	8	0
0	0	3	16	0
0	0	4	1	0
0	0	5	1	0
0	0	6	20	1
0	1	2	5	0
0	1	3	4	0
0	1	4	1	0
0	1	6	4	0
0	1	7	3	0
0	1	10	1	0
0	1	11	1	0
0	1	12	4	0
0	1	13	6	0
0	1	14	4	0
0	1	15	6	0
0	1	16	18	1
0	1	18	3	0
0	1	19	12	0
0	1	20	2	0
0	1	24	9	0
0	1	26	6	0
0	1	105	1	0
0	1	128	1	0
0	2	2	5	0
0	2	3	1	0
0	2	4	1	0
0	2	6	1	0
0	2	7	2	0
0	2	8	2	0
0	2	29	2	0
0	2	50  1	0
0	2	51	3	0
0	2	54	6	0
0	2	192	1	0
0	2	193	1	0
0	2	194	1	0
0	3	1	1	0
0	3	2	1	0
0	3	3	1	0
0	3	4	1	0
0	3	6	20	0
0	3	9	3	0
0	3	10	17	0
0	3	12	50	3
0	3	80	1	0
0	3	81	1	0
0	3	82	1	0
0	3	83	1	0
0	5	1	1	0
0	5	2	1	0
0	5	3	2	0
0	5	4	2	0
0	5	5	1	0
0	5	192	1	0
0	5	193	1	0
0	6	0	1	0
0	6	1	1	0
0	6	2	1	0
0	6	3	20	0
0	6	4	1	0
0	6	5	20	0
0	7	1	1	0
0	7	10	1	0
0	7	11	1	0
0	7	12	1	0
0	7	13	1	0
0	7	14	1	0
0	7	15	1	0
0	7	16	1	0
